name,image_src,url,table_check,qualification,expertise
นพ.ปัญเกียรติ โตพิพัฒน์,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1587719239_%E0%B8%99%E0%B8%9E.%E0%B8%9B%E0%B8%B1%E0%B8%8D%E0%B9%80%E0%B8%81%E0%B8%B5%E0%B8%A2%E0%B8%A3%E0%B8%95%E0%B8%B4_%E0%B9%82%E0%B8%95%E0%B8%9E%E0%B8%B4%E0%B8%9E%E0%B8%B1%E0%B8%92%E0%B8%99%E0%B9%8C.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=378,"พุธ 09:00 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5 ศุกร์ 09:00 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5 อาทิตย์ 09:00 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5",โรคหัวใจ ใครเสี่ยง?,อายุรศาสตร์โรคหัวใจ
ผศ. พญ.ปัญจมา ปาจารย์,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1587712739_%E0%B8%9C%E0%B8%A8.%E0%B8%9E%E0%B8%8D.%E0%B8%9B%E0%B8%B1%E0%B8%8D%E0%B8%88%E0%B8%A1%E0%B8%B2_%E0%B8%9B%E0%B8%B2%E0%B8%88%E0%B8%B2%E0%B8%A3%E0%B8%A2%E0%B9%8C.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=654,"พุธ 13:30 - 16:00 น. สัปดาห์ที่ 1,2,3,4,5",โรคจมูกอักเสบภูมิแพ้(Allergic rhinitis),กุมารเวชศาสตร์โรคภูมิแพ้ และอิมมูโนวิทยา
รศ. นพ.ปัญญา ลักษณะพฤกษา,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1587704614_%E0%B8%A3%E0%B8%A8.%E0%B8%99%E0%B8%9E.%E0%B8%9B%E0%B8%B1%E0%B8%8D%E0%B8%8D%E0%B8%B2_%E0%B8%A5%E0%B8%B1%E0%B8%81%E0%B8%A9%E0%B8%93%E0%B8%B0%E0%B8%9E%E0%B8%A4%E0%B8%81%E0%B8%A9%E0%B8%B2.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=205,"พฤหัสบดี 16:30 - 19:30 น. สัปดาห์ที่ 1,2,3,4,5 ศุกร์ 09:00 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5 เสาร์ 17:00 - 20:00 น. สัปดาห์ที่ 1,2,3,4,5","แพทยศาสตรบัณฑิต คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2538-2544Internship Trainingโรงพยาบาลสมเด็จพระยุพราชสระแก้ว ประเทศไทย พ.ศ.2544-2545แพทย์ประจำบ้าน สาขาศัลยศาสตร์ออร์โธปิดิกส์ คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2548-2551เฟลโลว์การผ่าตัดกระดูกสันหลัง คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2552-2553Research Fellowship in Spine Surgery, Department of Orthopaedic Surgery, Department of Orthopaedic Surgery, Washington University School of Medicine, St.Louis, MOประเทศสหรัฐอเมริกา พ.ศ.2557-2558Research Fellowship in Spine Surgery, Department of Orthopaedic Surgery, Thomas Jefferson University, Philadelphia, PAประเทศสหรัฐอเมริกา พ.ศ.2558-2559",ศัลยศาสตร์ออร์โธปิดิกส์
พญ.ปัณณิกา ปราชญ์โกสินทร์,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1589110586_no_profile_.png,https://www.siphhospital.com/th/medical-services/doctor-biography?id=755,"อังคาร 17:00 - 18:20 น. สัปดาห์ที่ 1,2,3,4,5",แพทยศาสตร์บัณฑิต คณะแพทศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2556วุฒิบัตรเวชศาสตร์ฟื้นฟู คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2561,เวชศาสตร์ฟื้นฟู
ผศ. พญ.ปัทมา เชาว์โพธิ์ทอง,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1587708364_%E0%B8%9C%E0%B8%A8.%E0%B8%9E%E0%B8%8D.%E0%B8%9B%E0%B8%B1%E0%B8%97%E0%B8%A1%E0%B8%B2_%E0%B9%80%E0%B8%8A%E0%B8%B2%E0%B8%A7%E0%B9%8C%E0%B9%82%E0%B8%9E%E0%B8%98%E0%B8%B4%E0%B9%8C%E0%B8%97%E0%B8%AD%E0%B8%87.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=269,"อังคาร 13:00 - 15:30 น. สัปดาห์ที่ 1,2,3,4,5",ประจำเดือนมาไม่ปกติ บอกอะไร? (Amenorrhea),สูติศาสตร์นรีเวชวิทยา
รศ. นพ.ปารยะ อาศนะเสน,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1588044102_%E0%B8%A3%E0%B8%A8.%E0%B8%99%E0%B8%9E.%E0%B8%9B%E0%B8%B2%E0%B8%A3%E0%B8%A2%E0%B8%B0_%E0%B8%AD%E0%B8%B2%E0%B8%A8%E0%B8%99%E0%B8%B0%E0%B9%80%E0%B8%AA%E0%B8%99.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=418,"เสาร์ 14:30 - 17:00 น. สัปดาห์ที่ 1,2,3,4,5","แพทยศาสตรบัณฑิต คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2537ประกาศนียบัตรชั้นสูงทางวิทยาศาสตร์การแพทย์คลินิก (โสต นาสิก ลาริงซ์วิทยา) บัณฑิตวิทยาลัย มหาวิทยาลัยมหิดล พ.ศ.2538วุฒิบัตรผู้มีความรู้ความชำนาญในการประกอบวิชาชีพเวชกรรม สาขาโสต นาสิก ลาริงซ์วิทยา แพทยสภา พ.ศ.2540Certificate of Research Fellowship in Allergy and Rhinology (The University of Chicago)พ.ศ.2543Fellowship in Sleep Medicine, The University of Chicago Hospitalsพ.ศ.2543หนังสืออนุมัติแสดงความรู้หรือความชำนาญในการประกอบวิชาชีพเวชกรรมสาขาเวชศาสตร์ครอบครัว แพทยสภา พ.ศ. 2545","โรคจมูก ไซนัส และภูมิแพ้, นอนกรน และภาวะหยุดหายใจขณะหลับ, ความผิดปกติของการรับกลิ่น และรส"
พญ.ปารวี พรตตะเสน,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1587629905_%E0%B8%9E%E0%B8%8D.%E0%B8%9B%E0%B8%B2%E0%B8%A3%E0%B8%A7%E0%B8%B5_%E0%B8%9E%E0%B8%A3%E0%B8%95%E0%B8%95%E0%B8%B0%E0%B9%80%E0%B8%AA%E0%B8%99.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=9,"จันทร์ 13:00 - 20:00 น. สัปดาห์ที่ 1,2,3,4,5 พุธ 12:00 - 20:00 น. สัปดาห์ที่ 1,2,3,4,5 พฤหัสบดี 09:00 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5 อาทิตย์ 09:00 - 13:00 น. สัปดาห์ที่ 1,2,3,4,5",แพทยศาสตร์บัณฑิต คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2546วุฒิบัตรสาขากุมารเวชศาสตร์ แพทยสภา พ.ศ.2552วุฒิบัตรอนุสาขากุมารเวชศาสตร์โรคภูมิแพ้และภูมิคุ้มกัน แพทยสภา พ.ศ.2554,"โรคภูมิแพ้และภูมิคุ้มกัน (Pediatrics, Allergy and Immunology)"
ทพญ.ปารัช ศิริวิชยกุล,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1704947620_%E0%B8%AD.%E0%B8%9B%E0%B8%B2%E0%B8%A3%E0%B8%B1%E0%B8%8A_%E0%B8%A8%E0%B8%B9%E0%B8%99%E0%B8%A2%E0%B9%8C%E0%B8%97%E0%B8%B1%E0%B8%99%E0%B8%95%E0%B8%81%E0%B8%A3%E0%B8%A3%E0%B8%A1.png,https://www.siphhospital.com/th/medical-services/doctor-biography?id=1257,จันทร์ 08:30 - 12:00 น. 13:00 - 16:00 น. อังคาร 08:30 - 12:00 น. 13:00 - 16:00 น. 16:30 - 20:00 น. พุธ 08:30 - 12:00 น. 13:00 - 16:00 น.,,ทันตกรรมสำหรับเด็ก
พญ.ปิติพร คุณากรไพบูลย์ศิริ,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1587703272_%E0%B8%9E%E0%B8%8D.%E0%B8%9B%E0%B8%B4%E0%B8%95%E0%B8%B4%E0%B8%9E%E0%B8%A3_%E0%B8%84%E0%B8%B8%E0%B8%93%E0%B8%B2%E0%B8%81%E0%B8%A3%E0%B9%84%E0%B8%9E%E0%B8%9A%E0%B8%B9%E0%B8%A5%E0%B8%A2%E0%B9%8C%E0%B8%A8%E0%B8%B4%E0%B8%A3%E0%B8%B4.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=184,"จันทร์ 09:00 - 12:00 น. สัปดาห์ที่ 1 13:00 - 14:30 น. สัปดาห์ที่ 1 อังคาร 09:00 - 12:00 น. สัปดาห์ที่ 1,2,5 09:00 - 12:00 น. สัปดาห์ที่ 3 09:00 - 12:00 น. สัปดาห์ที่ 4 13:00 - 14:30 น. สัปดาห์ที่ 1,2,5 13:00 - 14:30 น. สัปดาห์ที่ 3 13:00 - 14:30 น. สัปดาห์ที่ 4 พุธ 09:00 - 12:00 น. สัปดาห์ที่ 2 09:00 - 12:00 น. สัปดาห์ที่ 1,3,4,5 13:00 - 14:30 น. สัปดาห์ที่ 2 13:00 - 14:30 น. สัปดาห์ที่ 1,3,4,5 พฤหัสบดี 09:00 - 12:00 น. สัปดาห์ที่ 2,3,4 13:00 - 14:30 น. สัปดาห์ที่ 2,3,4 ศุกร์ 09:00 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5 13:00 - 14:30 น. สัปดาห์ที่ 1,2,3,4,5 เสาร์ 09:00 - 12:00 น. สัปดาห์ที่ 1,2,3,5 13:00 - 14:30 น. สัปดาห์ที่ 1,2,3,5",เบาหวานป้องกันได้,อายุรศาสตร์ต่อมไร้ท่อและเมตะบอลิสม
รศ. นพ.ปิติพล ชูพงศ์,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1587630636_%E0%B8%A3%E0%B8%A8.%E0%B8%99%E0%B8%9E.%E0%B8%9B%E0%B8%B4%E0%B8%95%E0%B8%B4%E0%B8%9E%E0%B8%A5_%E0%B8%8A%E0%B8%B9%E0%B8%9E%E0%B8%87%E0%B8%A8%E0%B9%8C.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=24,"จันทร์ 13:00 - 16:00 น. สัปดาห์ที่ 1,2,3,4,5 16:02 - 16:12 น. สัปดาห์ที่ 1,2,3,4,5",การถนอมสายตา,โรคจักษุวิทยาภูมิคุ้มกันและการอักเสบ
อ. นพ.ปิยวัฒน์ มาตระกูล,https://www.siphhospital.com/assets/img/no_profile.png,https://www.siphhospital.com/th/medical-services/doctor-biography?id=1233,ศุกร์ 16:30 - 18:00 น. สัปดาห์ที่ 3 16:30 - 18:30 น. สัปดาห์ที่ 1,แพทยศาสตร์บัณฑิต คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2557ประกาศนียบัตรบัณฑิตชั้นสูง (วิทยาศาสตร์การแพทย์คลินิก) มหาวิทยาลัยมหิดล พ.ศ.2561วุฒิบัตรสาขาศัลยศาสตร์ตกแต่ง คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2565,ศัลยศาสตร์ตกแต่ง
พญ.ปิยศิริ เศรษฐบุตร,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1587719348_%E0%B8%9E%E0%B8%8D.%E0%B8%9B%E0%B8%B4%E0%B8%A2%E0%B8%A8%E0%B8%B4%E0%B8%A3%E0%B8%B4_%E0%B9%80%E0%B8%A8%E0%B8%A3%E0%B8%A9%E0%B8%90%E0%B8%9A%E0%B8%B8%E0%B8%95%E0%B8%A3.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=381,"จันทร์ 09:00 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5 13:00 - 18:30 น. สัปดาห์ที่ 1,2,3,4,5 อังคาร 09:00 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5 13:00 - 16:30 น. สัปดาห์ที่ 1,2,3,4,5 พุธ 09:00 - 12:00 น. สัปดาห์ที่ 1,3 09:00 - 12:30 น. สัปดาห์ที่ 2,4,5 13:00 - 17:00 น. สัปดาห์ที่ 1,3 พฤหัสบดี 09:00 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5 13:00 - 16:00 น. สัปดาห์ที่ 1,2,3,4,5 อาทิตย์ 09:00 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5 13:00 - 18:00 น. สัปดาห์ที่ 1,2,3,4,5",แพทยศาสตร์บัณฑิต คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล ปี พ.ศ.2549วุฒิบัตรสาขาตจวิทยา คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล ปี พ.ศ.2551วุฒิบัตรสาขาตจศัลยศาสตร์ คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล ปี พ.ศ.2558,ตจวิทยา
พญ.ปิยะธิดา จิตรองอาจ,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1587719393_%E0%B8%9E%E0%B8%8D.%E0%B8%9B%E0%B8%B4%E0%B8%A2%E0%B8%B0%E0%B8%98%E0%B8%B4%E0%B8%94%E0%B8%B2_%E0%B8%88%E0%B8%B4%E0%B8%95%E0%B8%A3%E0%B8%AD%E0%B8%87%E0%B8%AD%E0%B8%B2%E0%B8%88.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=382,"จันทร์ 09:00 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5 พุธ 13:00 - 16:00 น. สัปดาห์ที่ 1,2,3,4,5 พฤหัสบดี 14:00 - 17:00 น. สัปดาห์ที่ 1,2,3,4,5 ศุกร์ 10:00 - 12:00 น. สัปดาห์ที่ 4 10:00 - 12:00 น. สัปดาห์ที่ 2 อาทิตย์ 10:00 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5 13:00 - 15:00 น. สัปดาห์ที่ 1,2,3,4,5",,อายุรศาสตร์โรคไต
พญ.ปิยะธิดา บรรพวัฒนรักษ์,https://www.siphhospital.com/assets/img/no_profile.png,https://www.siphhospital.com/th/medical-services/doctor-biography?id=1016,,เฝ้าระวังศีรษะกระแทก 72 ชั่วโมง,เวชศาสตร์ฉุกเฉิน
รศ. พญ.ปิยะภัทร เดชพระธรรม,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1587698262_%E0%B8%A3%E0%B8%A8.%E0%B8%9E%E0%B8%8D.%E0%B8%9B%E0%B8%B4%E0%B8%A2%E0%B8%B0%E0%B8%A0%E0%B8%B1%E0%B8%97%E0%B8%A3_%E0%B9%80%E0%B8%94%E0%B8%8A%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%98%E0%B8%A3%E0%B8%A3%E0%B8%A1.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=125,"พุธ 09:00 - 11:00 น. สัปดาห์ที่ 1 09:30 - 11:30 น. สัปดาห์ที่ 3 เสาร์ 08:00 - 08:15 น. สัปดาห์ที่ 1,2,3,4,5 08:25 - 08:40 น. สัปดาห์ที่ 1,2,3,4,5 08:50 - 09:00 น. สัปดาห์ที่ 1,2,3,4,5 09:20 - 09:30 น. สัปดาห์ที่ 1,2,3,4,5 09:50 - 10:00 น. สัปดาห์ที่ 1,2,3,4,5 10:20 - 11:00 น. สัปดาห์ที่ 1,2,3,4,5","ว.ว.(เวชศาสตร์ฟื้นฟู), พ.บ., อ.ว.(เวชศาสตร์ครอบครัว), ป.ชั้นสูง(เวชศาสตร์ฟื้นฟู),Fellowship Neurorehabilitation & Geriatric Rehabilitation University of MelbourneCertificate of Acupuncture International Exchange Center, Taiyuan ประเทศจีน","การฟื้นฟูโรคหลอดเลือดสมอง, การฟื้นฟูสมรรถภาพผู้สูงอายุ, การฟื้นฟูอาการบาดเจ็บที่ไขสันหลัง"
อ. พญ.ปีณิดา สกุลรัตนศักดิ์,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1594699271_Peenida.skul.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=526,"ศุกร์ 15:00 - 17:00 น. สัปดาห์ที่ 1,2,3,4,5",,อายุรศาสตร์โรคไต
พญ.ปุญญิศา ปราชญ์โกสินทร์,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1642500332_Puntisa.P.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=1194,"จันทร์ 16:30 - 20:00 น. สัปดาห์ที่ 1,2,3,4,5 พุธ 16:30 - 20:00 น. สัปดาห์ที่ 1,2,3,4,5 ศุกร์ 16:30 - 20:00 น. สัปดาห์ที่ 1,2,3,4,5",แพทยศาสตร์บัณฑิต คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2557วิทยาศาสตร์การแพทย์คลินิก คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2562วุฒิบัตรสาขาจิตเวชศาสตร์ คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2564,จิตเวชศาสตร์
ผศ. นพ.ปุณณฤกษ์ ทองเจริญ,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1587707913_%E0%B8%9C%E0%B8%A8.%E0%B8%99%E0%B8%9E._%E0%B8%9B%E0%B8%B8%E0%B8%93%E0%B8%93%E0%B8%A4%E0%B8%81%E0%B8%A9%E0%B9%8C_%E0%B8%97%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%88%E0%B8%A3%E0%B8%B4%E0%B8%8D.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=261,"พฤหัสบดี 12:00 - 14:30 น. สัปดาห์ที่ 1,2,3,4,5 12:00 - 14:30 น. สัปดาห์ที่ 1,2,3,4,5","Specialist Registrar in Thoracic Surgery, Birmingham Heart Lands Hospital, Birmingham ประเทศอังกฤษ พ.ศ.2543Specialist Registrar in Pediatric Cardiac Surgery, Birmingham Hospital, Birmingham ประเทศอังกฤษ พ.ศ.2542การฝึกอบรมสาขาศัลยศาสตร์หลอดเลือดและทรวงอก คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2538การฝึกอบรมสาขาศัลยศาสตร์ทั่วไป คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ. 2536ประกาศนียบัตรบัณฑิตทางวิทยาศาสตร์การแพทย์คลินิก (ศัลยศาสตร์) คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2534แพทยศาสตรบัณฑิต คณะแพทยศาสตร์ จุฬาลงกรณ์มหาวิทยาลัย พ.ศ.2531","การผ่าตัดหัวใจพิการแต่กำเนิด, หลอดเลือดหัวใจตีบและลิ้นหัวใจ ,การผ่าตัดปอด และการผ่าตัดปอดโดยการส่องกล้อง"
อ. นพ.เปรมยศ เงาเทพพฤฒาราม,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1587716005_%E0%B8%AD.%E0%B8%99%E0%B8%9E.%E0%B9%80%E0%B8%9B%E0%B8%A3%E0%B8%A1%E0%B8%A2%E0%B8%A8_%E0%B9%80%E0%B8%87%E0%B8%B2%E0%B9%80%E0%B8%97%E0%B8%9E%E0%B8%9E%E0%B8%A4%E0%B8%92%E0%B8%B2%E0%B8%A3%E0%B8%B2%E0%B8%A1.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=575,"พุธ 14:30 - 16:30 น. สัปดาห์ที่ 1,2,3",แพทยศาสตรบัณฑิต คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2546วุฒิบัตรผู้เชี่ยวชาญเฉพาะทางสาขาโสต ศอ นาสิก คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดลประกาศนียบัตรบัณฑิตทางวิทยาศาสตร์การแพทย์คลินิก (โสต ศอ นาสิก) พ.ศ.2552แพทย์เฟลโลว์ สาขาขาโรคจมูกและภูมิแพ้ คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2554,Rhinology and Allergy
พญ.ไปรยา กานตานนท์,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1587713358_%E0%B8%9E%E0%B8%8D.%E0%B9%84%E0%B8%9B%E0%B8%A3%E0%B8%A2%E0%B8%B2_%E0%B8%81%E0%B8%B2%E0%B8%99%E0%B8%95%E0%B8%B2%E0%B8%99%E0%B8%99%E0%B8%97%E0%B9%8C.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=327,,เฝ้าระวังศีรษะกระแทก 72 ชั่วโมง,เวชศาสตร์ฉุกเฉิน
ผศ. พญ.ผกามาส ตันวิจิตร,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1587714012_%E0%B8%AD.%E0%B8%9E%E0%B8%8D.%E0%B8%9C%E0%B8%81%E0%B8%B2%E0%B8%A1%E0%B8%B2%E0%B8%AA_%E0%B8%95%E0%B8%B1%E0%B8%99%E0%B8%A7%E0%B8%B4%E0%B8%88%E0%B8%B4%E0%B8%95%E0%B8%A3.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=337,"พุธ 17:00 - 20:00 น. สัปดาห์ที่ 1,2,3,4,5",,เวชศาสตร์ฟื้นฟู
อ. พญ.ผาณิต ฉายศิริ,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1612148159_Panid.chay.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=1182,"อังคาร 16:30 - 20:00 น. สัปดาห์ที่ 1,2,3,4,5 ศุกร์ 16:30 - 20:00 น. สัปดาห์ที่ 1,2,3,4,5",แพทยศาสตร์บัณฑิต คณะแพทยศาสตร์ มหาวิทยาลัยธรรมศาสตร์ พ.ศ.2553ป.บัณฑิตชั้นสูงวิทยาศาสตร์การแพทย์คลินิก มหาวิทยาลัยมหิดล พ.ศ.2557วุฒิบัตรสาขารังสีวิทยาทั่วไป แพทยสภา พ.ศ.2559วุฒิบัตรสาขารังสีรักษาและมะเร็งวิทยา แพทยสภา พ.ศ.2561,รังสีรักษาและมะเร็งวิทยา
นพ.เผ่าพงษ์ เผ่าสำราญ,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1698747974_Retouch_%28002%29.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=1246,"อาทิตย์ 09:00 - 11:00 น. สัปดาห์ที่ 1,3,5 13:00 - 15:00 น. สัปดาห์ที่ 1,3,5 13:00 - 15:00 น. สัปดาห์ที่ 2,4",,โสต ศอ นาสิก
รศ. ดร. นพ.พงศกร ตันติลีปิกร,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1587713135_%E0%B8%A3%E0%B8%A8.%E0%B8%94%E0%B8%A3.%E0%B8%99%E0%B8%9E.%E0%B8%9E%E0%B8%87%E0%B8%A8%E0%B8%81%E0%B8%A3_%E0%B8%95%E0%B8%B1%E0%B8%99%E0%B8%95%E0%B8%B4%E0%B8%A5%E0%B8%B5%E0%B8%9B%E0%B8%B4%E0%B8%81%E0%B8%A3.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=636,"อังคาร 09:30 - 11:30 น. สัปดาห์ที่ 1,2,3,4,5",โรคจมูกอักเสบภูมิแพ้(Allergic rhinitis),นาสิกวิทยาและภูมิแพ้
นพ.พงษ์จิรัษฏ์ ตันตยาคม,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1588040769_%E0%B8%99%E0%B8%9E.%E0%B8%9E%E0%B8%87%E0%B8%A9%E0%B9%8C%E0%B8%88%E0%B8%B4%E0%B8%A3%E0%B8%B1%E0%B8%A9%E0%B8%8E%E0%B9%8C_%E0%B8%95%E0%B8%B1%E0%B8%99%E0%B8%95%E0%B8%A2%E0%B8%B2%E0%B8%84%E0%B8%A1.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=385,"อังคาร 09:00 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5 13:00 - 15:00 น. สัปดาห์ที่ 1,2,3,4,5 พุธ 09:00 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5 13:00 - 18:00 น. สัปดาห์ที่ 1,2,3,4,5 พฤหัสบดี 13:00 - 17:00 น. สัปดาห์ที่ 1,2,3,4,5 อาทิตย์ 09:00 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5 13:00 - 17:00 น. สัปดาห์ที่ 1,2,3,4,5",,อายุรศาสตร์โรคข้อและรูมาติซั่ม
อ. นพ.พงษ์เทพ พิศาลธุรกิจ,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1587709079_%E0%B8%AD.%E0%B8%99%E0%B8%9E.%E0%B8%9E%E0%B8%87%E0%B8%A9%E0%B9%8C%E0%B9%80%E0%B8%97%E0%B8%9E_%E0%B8%9E%E0%B8%B4%E0%B8%A8%E0%B8%B2%E0%B8%A5%E0%B8%98%E0%B8%B8%E0%B8%A3%E0%B8%81%E0%B8%B4%E0%B8%88.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=280,ศุกร์ 10:00 - 12:00 น. สัปดาห์ที่ 4 10:00 - 12:00 น. สัปดาห์ที่ 1 10:00 - 12:00 น. สัปดาห์ที่ 3 อาทิตย์ 09:00 - 11:50 น. สัปดาห์ที่ 3 09:00 - 12:00 น. สัปดาห์ที่ 2 09:00 - 12:00 น. สัปดาห์ที่ 1,,ศัลยศาสตร์ศีรษะ คอ และเต้านม
รศ. ดร. พญ.พจมาน พิศาลประภา,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1649300421_Pochaman.Ph.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=82,"ศุกร์ 14:00 - 16:00 น. สัปดาห์ที่ 1,2,3,4,5",แพทยศาสตรบัณฑิต คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2545วุฒิบัตรสาขาอายุรศาสตร์ คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2551วุฒิบัตรสาขาอายุรศาสตร์โรคระบบทางเดินอาหาร คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2553อนุมัติบัตรอนุสาขาอายุรศาสตร์โรงพยาบาลอนุมัติบัตรอนุสาขาอายุรศาสตร์ผู้ป่วยนอกวิทยาศาสตรมหาบัณฑิต สาขาเศรษฐศาสตร์สาธารณสุขและการจัดการบริการสุขภาพ จุฬาลงกรณ์มหาวิทยาลัย พ.ศ.2558เศรษฐศาสตรดุษฎีบัณฑิต จุฬาลงกรณ์มหาวิทยาลัย พ.ศ.2562,อายุรศาสตร์โรคระบบทางเดินอาหาร
